Untitled report
"June 1, 2025 - June 30, 2026"
Month,Campaign,Impr.,Clicks,Currency code,Cost,Conversions,Conv. value,Search top IS,Search abs. top IS,Search exact match IS,Search lost IS (rank),Search lost IS (budget),Search lost top IS (rank),Search lost top IS (budget),Search lost abs. top IS (rank)
March 2026,google_eco_per_ven_brd_all_sor_4p_brand-mobile,"5,084,697","2,144,376",BRL,641659.87,"56,405.24","58,004,823.33",73.08%,69.27%,82.89%,10.49%,10.12%,14.85%,12.08%,18.66%
March 2026,google_eco_per_ven_brd_all_sor_4p_brand-ampla,"128,875","9,008",BRL,5149.48,399.42,"528,173.62",< 10%,< 10%,49.48%,75.78%,20.25%,78.31%,20.26%,79.38%
April 2026,google_eco_per_ven_brd_all_sor_4p_brand-desk,"222,737","67,540",BRL,325043.18,"5,807.95","8,170,721.21",11.05%,11.00%,< 10%,45.11%,43.24%,45.48%,43.46%,45.54%
April 2026,google_eco_per_ven_brd_all_sor_4p_brand-mobile,"4,946,041","2,177,611",BRL,963143.29,"60,586.64","61,612,814.55",84.38%,84.21%,88.56%,1.88%,10.10%,3.02%,12.60%,3.19%
April 2026,google_eco_per_ven_brd_all_sor_4p_brand-ampla,"201,112","15,037",BRL,12794.42,783.50,"951,976.15",< 10%,< 10%,< 10%,67.99%,26.38%,71.29%,26.38%,72.99%
May 2026,google_eco_per_ven_brd_all_sor_4p_brand-desk,"145,135","36,658",BRL,286941.27,"4,428.72","5,709,292.17",< 10%,< 10%,< 10%,41.39%,50.64%,41.53%,50.92%,41.56%
May 2026,google_eco_per_ven_brd_all_sor_4p_brand-mobile,"5,270,514","2,667,601",BRL,920231.86,"74,582.45","71,060,092.64",89.00%,88.79%,92.23%,0.98%,7.86%,1.33%,9.67%,1.54%
May 2026,google_eco_per_ven_brd_all_sor_4p_brand-ampla,"239,070","21,267",BRL,15128.21,990.99,"1,203,553.56",< 10%,< 10%,< 10%,75.69%,17.70%,79.75%,17.70%,81.46%
June 2026,google_eco_per_ven_brd_all_sor_4p_brand-desk,"179,296","44,696",BRL,199904.09,"4,612.05","6,316,069.28",< 10%,< 10%,< 10%,52.25%,36.82%,53.48%,37.92%,53.64%
June 2026,google_eco_per_ven_brd_all_sor_4p_brand-mobile,"3,966,043","2,105,678",BRL,947119.75,"62,929.69","58,837,290.22",79.89%,77.65%,89.72%,3.71%,9.68%,5.82%,14.29%,8.06%
June 2026,google_eco_per_ven_brd_all_sor_4p_brand-ampla,"177,985","15,600",BRL,13394.90,629.99,"670,169.17",< 10%,< 10%,30.77%,73.29%,20.47%,77.20%,20.47%,78.67%
